,Category,name,destinations,age_group,tour_type_des,Vendors,Duration,price,Destination_link
12,In-depth Cultural,Legends of Egypt," Cairo, Giza, Memphis, Saqqarah, Dendera, Abydos, Luxor, Valley of the Kings, Valley of the Queens, Esna, Edfu, Kom Ombo, Aswan, Abu Simbel, Philae+7 more", 10 to 90 ,"Family, Private, Fully Guided, Christmas & New Year+2 more",Planet Tours,10 days,1.563,192861
13,Explorer,Goddess Hathor - 8 Days (5 stars)," Cairo, Giza, Aswan, Edfu, Kom Ombo, Abu Simbel, Luxor, Esna, Valley of the Kings, Dendera+1 more", 1 to 88 ,"Family, Private, Group, Fully Guided, Historical, Christmas & New Year+3 more",Holiday In Egypt,8 days,908,230867
14,Explorer,"Kingdom of Egypt - 8 Days ( Cairo , Aswan - Nile Cruise - Luxor ) & Sleeper Train Round Trip"," Cairo, Giza, Aswan, Kom Ombo, Edfu, Luxor ", 1 to 99 ,"Family, Private, Group, Fully Guided, Historical, Christmas & New Year+3 more",Egypt Best Holidays ,8 days,863,134152
15,Explorer,Nile Jewel - 5* Cruise," Cairo, Aswan, Kom Ombo, Luxor, Hurghada ", 16 to 75 ,"River Cruise, Private, Group, Fully Guided, Historical, Christmas & New Year+4 more",Timeless Tours ,9 days,682,45553
16,Explorer,Best Of Egypt - 5* Cruise," Cairo, Giza, Aswan, Kom Ombo, Luxor, Hurghada ", 12 to 75 ,"River Cruise, Private, Group, Fully Guided, Historical, Christmas & New Year+4 more",Timeless Tours ,10 days,715,45598
17,Explorer,"8 Days Nile Jewel, Cairo & Nile Cruise"," Cairo, Giza, Aswan, Edfu, Kom Ombo, Luxor, Esna, Valley of the Kings ", 6 to 78 ,"Family, River Cruise, Private, Group, Fully Guided, Historical, Christmas & New Year+5 more",Vacations to go travel,8 days,958,138884
18,In-depth Cultural,Wonders of the Pharaohs," Cairo, Giza, Aswan, Kom Ombo, Luxor, Hurghada ", 12 to 75 ,"River Cruise, Private, Group, Fully Guided, Historical, Christmas & New Year+4 more",Timeless Tours ,10 days,1.032,45558
19,Explorer,Egypt Highlights," Cairo, Giza, Aswan, Kom Ombo, Luxor, Hurghada ", 12 to 80 ,"River Cruise, Private, Group, Fully Guided, Historical, Christmas & New Year+4 more",Timeless Tours ,14 days,1.092,45559
20,In-depth Cultural,Egypt Luxury Guided Tour W/Nile Cruise & Air," Cairo, Luxor, Edfu, Kom Ombo, Aswan, Abu Simbel ", 3 to 99 ,"Active Adventure, Family, Private, Group, Fully Guided, Christmas & New Year+3 more",Truly Egypt Tours,8 days,627,127638
21,Explorer,Cairo and Nile Cruise Tours - Included Internal Flights," Cairo, Giza, Aswan, Abu Simbel, Kom Ombo, Edfu, Luxor ", 12 to 90 ,"Family, River Cruise, Private, Group, Fully Guided, Historical, Christmas & New Year+5 more",Getaways Egypt ,7 days,531,229712
22,In-depth Cultural,Egypt: Boats & Bazaars," Cairo, Aswan, Kom Ombo, Luxor ", 18 to 39 ,"Active Adventure, Group, Fully Guided, Christmas & New Year+2 more",G Adventures,8 days,637,7494
23,In-depth Cultural,Best of Egypt," Cairo, Aswan, Edfu, Kom Ombo, Luxor ", 12 to 90 ,"Active Adventure, Group, Fully Guided, Christmas & New Year+2 more",G Adventures,8 days,903,5174
24,In-depth Cultural,King Ramses - 13 days," Cairo, Saqqarah, Aswan, Philae, Kom Ombo, Luxor, Valley of the Kings, Hurghada ", 18 to 80 ,"Group, Fully Guided, Coach / Bus, Christmas & New Year+2 more",On The Go Tours,13 days,1.352,869
25,In-depth Cultural,Egypt Adventure," Cairo, Aswan, Luxor ", 15 to 99 ,"Group, Fully Guided, Christmas & New Year+1 more",Intrepid Travel,8 days,1.107,1576
26,In-depth Cultural,Egypt tour for Solo Traveler," Cairo, Aswan, Kom Ombo, Edfu, Luxor, Hurghada ", 20 to 65 ,"River Cruise, Private, Partially Guided, Christmas & New Year+2 more",Vacations to go travel,8 days,1.590,129922
27,In-depth Cultural,Egypt Nile Adventure - 9 Days," Cairo, Giza, Saqqarah, Aswan, Kom Ombo, Luxor, Valley of the Kings, Hurghada ", 10 to 80 ,"Active Adventure, Family, Private, Group, Fully Guided, Explorer, Christmas & New Year+4 more",Expat Explore Travel,9 days,720,14258
28,In-depth Cultural,"10 Days Egypt Highlights ( Cairo, Nile Cruise by Sleeping Train )"," Cairo, Aswan, Kom Ombo, Edfu, Luxor ", 6 to 79 ,"Family, River Cruise, Private, Group, Fully Guided, Historical, Christmas & New Year+5 more",Vacations to go travel,10 days,906,119129
29,In-depth Cultural,"12 Days Cairo, Nile Cruise & Hurghada"," Cairo, Giza, Aswan, Kom Ombo, Edfu, Luxor, Hurghada ", 8 to 78 ,"Family, River Cruise, Private, Group, Fully Guided, Historical, Christmas & New Year+5 more",Vacations to go travel,12 days,1.181,119128
30,In-depth Cultural,"11-Day Cairo, Nile Cruise, Abu Simbel, Dendarah,  Abydos & Alexandria"," Cairo, Aswan, Abu Simbel, Kom Ombo, Edfu, Luxor, Dendera, Abydos, Alexandria ", 8 to 80 ,"Family, River Cruise, Private, Group, Fully Guided, Christmas & New Year+4 more",Vacations to go travel,11 days,2.544,130809
31,Active Adventure,Queen Cleopatra  - 7 days," Cairo, Giza, Aswan, Philae, Agilkia Island, Elephantine Island, Kom Ombo, Edfu, Luxor, Valley of the Kings+2 more", 4 to 88 ,"Family, Private, Group, Fully Guided, Christmas & New Year+2 more",Holiday In Egypt,7 days,590,230906
32,Explorer,Pharaoh's Highlights (5-star)," Cairo, Giza, Luxor, Valley of the Kings, Edfu, Kom Ombo, Aswan, Philae ", 2 to 90 ,"Family, River Cruise, Private, Group, Fully Guided, Historical, Christmas & New Year+5 more",Beyond The Nile Tours,9 days,907,114603
33,In-depth Cultural,Special Egypt 10 Days : Cairo- Aswan-Luxor & Hurghada by Flight," Cairo, Giza, Aswan, Kom Ombo, Edfu, Luxor, Hurghada ", 12 to 80 ,"Family, Private, Fully Guided, Christmas & New Year+2 more",Egypt Direct Tours,10 days,1.045,222641
34,Explorer,10 Day Egypt Experience Tour (Domestic flight)," Cairo, Luxor, Edfu, Kom Ombo, Aswan ", 6 to 79 ,"Family, River Cruise, Group, Fully Guided, Historical, Christmas & New Year+4 more",Vacations to go travel,10 days,1.136,127383
35,In-depth Cultural,Jewels of the Nile," Cairo, Aswan, Kom Ombo, Edfu, Luxor, Valley of the Kings ", 18 to 50 ,"Group, Fully Guided, Explorer, Coach / Bus, Christmas & New Year+3 more",Travel Talk,9 days,1.040,2351
36,River Cruise,Around Egypt in Luxury," Cairo, Luxor, Edfu, Kom Ombo, Aswan ", 5 to 82 ,"Family, Private, Group, Fully Guided, Explorer, Historical, Christmas & New Year+4 more",Vacations to go travel,8 days,2.180,132188
37,In-depth Cultural,Jewel of the Nile Luxor-Aswan-Abu Simbel 5 days with tour guided," Luxor, Edfu, Kom Ombo, Abu Simbel, Aswan ", 12 to 85 ,"Private, Fully Guided, Historical, Christmas & New Year+2 more",Egypt Direct Tours,5 days,472,182071
38,Explorer,Magic of Egypt - ( Cairo - Nile Cruise - Red Sea) 12 Days," Cairo, Giza, Luxor, Valley of the Kings, Edfu, Kom Ombo, Aswan, Philae, Hurghada ", 2 to 80 ,"Family, River Cruise, Private, Group, Partially Guided, Historical, Christmas & New Year+5 more",Beyond The Nile Tours,12 days,1.222,174273
39,In-depth Cultural,Pharaohs and Pyramids tour," Cairo, Luxor, Edfu, Kom Ombo, Aswan ", 7 to 85 ,"Family, Custom, River Cruise, Private, Fully Guided, Christmas & New Year+4 more",Vacations to go travel,10 days,6.232,118810
40,In-depth Cultural,"8-Day Cairo, Aswan, Luxor & Alexandria tour"," Cairo, Aswan, Luxor, Alexandria ", 8 to 80 ,"Family, Private, Partially Guided, Historical, Christmas & New Year+3 more",Vacations to go travel,8 days,2.089,132194
41,Active Adventure,8 Days Pyramids and Nile Cruise Aswan - Abu simbel - Luxor - Hurghada," Cairo, Giza, Aswan, Philae, Agilkia Island, Kom Ombo, Edfu, Luxor, Valley of the Kings, Hurghada+2 more", 2 to 88 ,"Family, Private, Group, Fully Guided, Christmas & New Year+2 more",Holiday In Egypt,8 days,636,232126
42,In-depth Cultural,Adventure Across The Nile River - Discover Egypt and go on the Felucca Sailing Boat," Cairo, Saqqarah, Aswan, Philae, Kom Ombo, Luxor, Hurghada ", 18 to 55 ,"Group, Fully Guided, Historical+1 more",LocalAdventures,9 days,772,208064
43,In-depth Cultural,Luxury 10 days Egypt tour and Red Sea extension," Cairo, Aswan, Luxor, Hurghada ", 8 to 80 ,"Family, River Cruise, Private, Partially Guided, Historical, Christmas & New Year+4 more",Vacations to go travel,10 days,3.125,114683
44,In-depth Cultural,"Luxury Egypt Family tour ""Marriott Mena House & Nile Ritz Experience"""," Cairo, Luxor, Edfu, Kom Ombo, Aswan ", 5 to 79 ,"Family, River Cruise, Private, Fully Guided, Christmas & New Year+3 more",Vacations to go travel,9 days,3.379,119132
45,In-depth Cultural,King Tutankhamun - 10 days," Cairo, Giza, Saqqarah, Philae, Aswan, Kom Ombo, Luxor, Valley of the Kings ", 18 to 80 ,"Group, Fully Guided, Explorer, Christmas & New Year+2 more",On The Go Tours,10 days,1.084,867
46,Active Adventure,Luxurious Egypt (5* Nile cruise/ hurghadal all inclusive )with  domestic flight," Hurghada, Luxor, Esna, Edfu, Kom Ombo, Aswan, Abu Simbel, Cairo, Giza ", 1 to 85 ,"Family, Private, Group, Fully Guided, Christmas & New Year+2 more",Beyond The Nile Tours,9 days,1.222,111023
47,In-depth Cultural,King Tutankhamun with Cruise - 10 days," Cairo, Giza, Aswan, Philae, Kom Ombo, Luxor, Valley of the Kings ", 18 to 80 ,"Group, Fully Guided, Historical, Christmas & New Year+2 more",On The Go Tours,10 days,1.598,158646
48,In-depth Cultural,Golden Cairo," Cairo, Giza, Alexandria ", 12 to 75 ,"Private, Group, Fully Guided, Historical, Christmas & New Year+3 more",Timeless Tours ,5 days,396,96010
49,In-depth Cultural,Essential Egypt," Cairo, Aswan, Luxor, Valley of the Kings ", 18 to 29 ,"Active Adventure, Group, Fully Guided+1 more",Intrepid Travel,9 days,895,16421
50,In-depth Cultural,Egypt Experience," Cairo, Alexandria, Aswan, Abu Simbel, Luxor ", 15 to 99 ,"Active Adventure, Group, Fully Guided, Christmas & New Year+2 more",Intrepid Travel,12 days,2.260,1580
51,In-depth Cultural,Golden Egypt," Cairo, Giza, Luxor ", 12 to 75 ,"Private, Group, Fully Guided, Historical, Christmas & New Year+3 more",Timeless Tours ,6 days,450,96009
52,Explorer,"Marvel Egypt 7 Days ( Cairo , Nile Cruise & Sleeper Train Round Trip )"," Cairo, Giza, Aswan, Kom Ombo, Edfu, Luxor ", 1 to 99 ,"Family, Private, Group, Fully Guided, Historical, Christmas & New Year+3 more",Egypt Best Holidays ,7 days,818,155685
53,Explorer,Cairo to Luxor Explorer - 6 days," Cairo, Giza, Saqqarah, Luxor, Dendera, Valley of the Kings ", 18 to 80 ,"Group, Fully Guided, Historical, Christmas & New Year+2 more",On The Go Tours,6 days,770,871
54,In-depth Cultural,Cairo - Aswan - Luxor 8 days 7 Nights with Nile Cruise," Cairo, Aswan, Kom Ombo, Luxor ", 4 to 65 ,"Family, Private, Fully Guided, Sightseeing, Christmas & New Year+3 more",Your Egypt Tours,8 days,2.588,109504
55,Explorer,Splendours of Egypt & The Nile (4 Nights Cairo + 7 Nights Cruise)," Cairo, Luxor, Edfu, Kom Ombo, Aswan, Esna ", 5 to 80 ,"Family, Custom, River Cruise, Private, Fully Guided, Historical, Christmas & New Year+5 more",Vacations to go travel,12 days,2.900,129266
56,In-depth Cultural,Jewel of Egypt & The Nile Tour with Balloon - Internal Airfares Included," Cairo, Giza, Abu Simbel, Aswan, Kom Ombo, Edfu, Esna, Luxor ", 12 to 90 ,"Private, Group, Fully Guided, Christmas & New Year+2 more",Getaways Egypt ,7 days,627,229676
57,River Cruise,"Egypt Luxury Tour Package 8 Days, 7 Nights"," Cairo, Luxor, Aswan ", 4 to 85 ,"Family, Private, Fully Guided, Explorer, Historical, Christmas & New Year+4 more",Your Egypt Tours,8 days,2.724,110169
58,In-depth Cultural,"Discover Egypt, Pyramids & Nile cruise Included Internal Flights  [ 7 days ]"," Cairo, Aswan, Abu Simbel, Kom Ombo, Edfu, Luxor ", 3 to 80 ,"Family, Private, Group, Fully Guided, Christmas & New Year+2 more",Truly Egypt Tours,7 days,809,188011
59,In-depth Cultural,"5* Nile Cruise from Aswan to Luxor 4 days with meals,& private sightseeing,tour guided"," Aswan, Kom Ombo, Edfu, Luxor ", 18 to 80 ,"Private, Fully Guided, Christmas & New Year+1 more",Egypt Direct Tours,4 days,359,215563
60,In-depth Cultural,Classical Egypt & Nile Cruise - 11 days," Cairo, Giza, Luxor, Dendera, Valley of the Kings, Kom Ombo, Aswan, Abu Simbel, Philae+1 more", 18 to 80 ,"Active Adventure, River Cruise, Group, Fully Guided, Explorer, Historical, Christmas & New Year+5 more",On The Go Tours,11 days,1.560,158644
61,In-depth Cultural,Discover Egypt," Cairo, Aswan, Edfu, Luxor, Hurghada ", 8 to 95 ,"Family, Private, Group, Fully Guided, Historical+2 more",Encounters Travel,10 days,1.755,55540
62,In-depth Cultural,Wonders of Egypt and the Nile," Cairo, Alexandria, Aswan, Abu Simbel, Kom Ombo, Edfu, Luxor ", 12 to 70 ,"Active Adventure, Group, Fully Guided, Christmas & New Year+2 more",G Adventures,12 days,1.999,5178
63,Explorer,15 Days Ancient Egypt tour  (Nile Cruise–Hurghada–Cairo)," Luxor, Edfu, Kom Ombo, Aswan, Hurghada, Cairo ", 5 to 80 ,"Family, River Cruise, Private, Group, Partially Guided, Historical, Christmas & New Year+5 more",Vacations to go travel,15 days,2.552,118814
64,In-depth Cultural,"Egypt Explorer, Cairo,Luxo,Aswan & Abu Simbel"," Cairo, Luxor, Aswan, Abu Simbel ", 3 to 99 ,"Family, Private, Group, Fully Guided, Explorer, Christmas & New Year+3 more",Truly Egypt Tours,7 days,621,127637
65,In-depth Cultural,Jewel of the Nile  - 10 days," Cairo, Giza, Saqqarah, Luxor, Valley of the Kings, Kom Ombo, Aswan ", 18 to 80 ,"River Cruise, Group, Fully Guided, Explorer, Historical, Christmas & New Year+4 more",On The Go Tours,10 days,1.645,13444
66,In-depth Cultural,Cairo -Alexandria Short Break 5 Days to Land of the Kings with Sightseeing and Tour Guided," Cairo, Giza, Alexandria ", 6 to 85 ,"Family, Private, Fully Guided, Historical, Christmas & New Year+3 more",Egypt Direct Tours,5 days,477,132193
67,Active Adventure,Nubian Adventure," Cairo, Aswan, Abu Simbel, Kom Ombo, Edfu, Luxor ", 8 to 95 ,"Family, Private, Group, Fully Guided+1 more",Encounters Travel,9 days,1.260,24071
68,Active Adventure,Highlights of Egypt," Cairo, Giza, Aswan, Philae, Abu Simbel, Kom Ombo, Luxor, Valley of the Kings, Hurghada, Alexandria+2 more", 12 to 70 ,"Group, Fully Guided, Historical, Christmas & New Year+2 more",G Adventures,14 days,1.303,94045
69,In-depth Cultural,King Ramses- 8-Day tour," Cairo, Aswan, Kom Ombo, Edfu, Luxor ", 9 to 78 ,"Family, Private, Group, Fully Guided, Christmas & New Year+2 more",Vacations to go travel,8 days,743,139314
70,Explorer,Flavours of Egypt," Cairo, Aswan, Kom Ombo, Edfu, Luxor ", 6 to 85 ,"Family, Private, Group, Fully Guided, Christmas & New Year+2 more",Planet Tours,9 days,786,142771
71,In-depth Cultural,Private Luxury 9 Nights Classic Egypt with 3 Day Nile Cruise & Abu Simbel," Cairo, Aswan, Abu Simbel, Kom Ombo, Edfu, Luxor ", 5 to 78 ,"Family, Private, Fully Guided, Explorer, Christmas & New Year+3 more",Vacations to go travel,10 days,3.167,158782
72,Explorer,"Explore Egypt (12 Days Cairo, Nile Cruise and Sharm El Sheikh)"," Cairo, Aswan, Kom Ombo, Edfu, Luxor, Sharm el-Sheikh ", 4 to 79 ,"Family, Private, Group, Partially Guided, Christmas & New Year+2 more",Vacations to go travel,12 days,1.295,159292
73,Explorer,Egypt Nile Cruise 8 Days 7 Nights Tour Package," Cairo, Giza, Luxor, Aswan ", 4 to 65 ,"Family, Private, Fully Guided, Sightseeing, Christmas & New Year+3 more",Your Egypt Tours,8 days,1.999,110771
74,In-depth Cultural,"15 Days Ancient Egypt tour  (Nile Cruise, Marsa Alam, Cairo)"," Luxor, Edfu, Kom Ombo, Aswan, Marsa Alam, Cairo ", 5 to 80 ,"Family, River Cruise, Private, Group, Partially Guided, Christmas & New Year+4 more",Vacations to go travel,15 days,2.600,118825
75,In-depth Cultural,Luxury 14 Days Treasure of Egypt Tour," Cairo, Luxor, Edfu, Kom Ombo, Aswan, Abu Simbel ", 10 to 80 ,"Family, River Cruise, Private, Fully Guided, Christmas & New Year+3 more",Vacations to go travel,14 days,6.931,126987
76,Explorer,"15 Days Ancient Egypt tour  (Nile Cruise, Luxor, Cairo)"," Luxor, Edfu, Kom Ombo, Aswan, Cairo ", 5 to 80 ,"Family, River Cruise, Private, Group, Partially Guided, Historical, Christmas & New Year+5 more",Vacations to go travel,15 days,2.480,118806
77,River Cruise,Egyptian Legacy," Cairo, Luxor, Edfu, Kom Ombo, Aswan ", 8 to 95 ,"Family, Private, Group, Fully Guided, Explorer, Historical+3 more",Encounters Travel,8 days,1.850,24055
78,River Cruise,Cairo & Luxury Dahabiya," Cairo, Giza, Luxor, Esna, Edfu, Kom Ombo, Aswan, Abu Simbel ", 2 to 80 ,"Family, Private, Fully Guided, Explorer, Historical, Christmas & New Year+4 more",Agate Travel,10 days,4.569,202586
79,In-depth Cultural,King Ramses with Cruise - 13 days," Cairo, Giza, Saqqarah, Aswan, Philae, Kom Ombo, Luxor, Valley of the Kings, Hurghada+1 more", 18 to 80 ,"River Cruise, Group, Fully Guided, Historical, Christmas & New Year+3 more",On The Go Tours,13 days,2.120,150194
80,In-depth Cultural,10 Day Classic Egypt with 4 Day Nile Cruise from New York (airfare included)," Cairo, Luxor, Edfu, Kom Ombo, Aswan ", 10 to 80 ,"Family, River Cruise, Private, Partially Guided, Christmas & New Year+3 more",Vacations to go travel,10 days,3.534,119275
81,In-depth Cultural,1001 Treasures Egypt," Cairo, Aswan, Luxor ", 2 to 80 ,"Family, Group, Partially Guided, Historical, Christmas & New Year+3 more",Alacart Travel Egypt,9 days,690,160900
82,In-depth Cultural,Immortal Egypt - 9 Days," Cairo, Giza, Aswan, Philae, Agilkia Island, Kom Ombo, Edfu, Luxor, Valley of the Kings, Hurghada+2 more", 2 to 88 ,"Family, Private, Group, Fully Guided, Christmas & New Year+2 more",Holiday In Egypt,9 days,818,230968
83,Explorer,Essential Egypt - 10 days," Cairo, Giza, Aswan, Kom Ombo, Luxor, Valley of the Kings ", 18 to 80 ,"River Cruise, Group, Fully Guided, Historical+2 more",On The Go Tours,10 days,799,118675
84,In-depth Cultural,Treasures of the Nile - 10 days," Cairo, Giza, Saqqarah, Luxor, Valley of the Kings, Esna, Kom Ombo, Aswan, Philae ", 18 to 80 ,"Active Adventure, Group, Fully Guided, Explorer, Christmas & New Year+3 more",On The Go Tours,10 days,2.340,112261
85,River Cruise,River Nile Dream  - 4 Days from Luxor to Aswan   ( 5 Stars Nile Cruise & Sightseeing )," Luxor, Edfu, Kom Ombo, Aswan ", 1 to 99 ,"Family, Private, Group, Fully Guided, Explorer, Historical, Christmas & New Year+4 more",Egypt Best Holidays ,4 days,445,215565
86,River Cruise,4 Days 3 nights  5 stars Nile Cruise Aswan to Luxor," Aswan, Abu Simbel, Kom Ombo, Edfu, Esna, Valley of the Kings, Luxor ", 2 to 90 ,"Family, Private, Group, Fully Guided, Explorer, Historical, Christmas & New Year+4 more",Holiday In Egypt,4 days,363,230907
87,River Cruise,River Nile Story - 4 Days 5 stars Nile Cruise Aswan to Luxor with meals and Sightseeing," Aswan, Kom Ombo, Edfu, Luxor ", 2 to 99 ,"Family, Private, Group, Fully Guided, Explorer, Historical, Christmas & New Year+4 more",Egypt Best Holidays ,4 days,409,143630
88,River Cruise,River Nile Cruise For 4 Nights From Luxor to Aswan ( Opt. Balloon & Abu Simbel )," Luxor, Edfu, Kom Ombo, Aswan ", 1 to 99 ,"Family, Private, Group, Fully Guided, Explorer, Historical, Christmas & New Year+4 more",Egypt Best Holidays ,5 days,453,226481
89,River Cruise,Nile Cruise from Luxor for 4 Nights," Luxor, Aswan ", 18 to 80 ,"Private, Fully Guided, Explorer, Historical, Christmas & New Year+3 more",Egyptology Travel,5 days,500,139185
90,Explorer,Footprints of the Pharoahs," Cairo, Memphis, Alexandria, Luxor, Valley of the Kings, Edfu, Kom Ombo, Aswan, Abu Simbel, Ain Sokhna+2 more", 8 to 85 ,"Family, Private, Fully Guided+1 more",Planet Tours,14 days,1.774,142758
91,In-depth Cultural,6 Day Cairo and Nile Cruise tour," Cairo, Aswan, Kom Ombo, Edfu, Luxor ", 5 to 80 ,"Family, River Cruise, Private, Group, Fully Guided, Historical, Christmas & New Year+5 more",Vacations to go travel,6 days,1.333,132180
92,In-depth Cultural,"4 Days Cairo, Luxor tour"," Cairo, Luxor ", 4 to 80 ,"Family, Private, Partially Guided, Sightseeing, Historical, Christmas & New Year+4 more",Vacations to go travel,4 days,618,132606
93,In-depth Cultural,"Best of Egypt (Summer, 9 Days)"," Cairo, Luxor, Edfu, Kom Ombo, Aswan, Giza ", 5 to 99 ,"Family, Group, Fully Guided, Coach / Bus, Historical+3 more",Trafalgar,9 days,2.758,83069
94,In-depth Cultural,Egypt Family Holiday," Cairo, Luxor, Aswan ", 5 to 99 ,"Active Adventure, Family, Group, Fully Guided, Christmas & New Year+2 more",Intrepid Travel,8 days,1.381,63015
95,Explorer,Egyptian Highlights Tour," Cairo, Giza, Saqqarah, Luxor, Valley of the Kings, Edfu, Kom Ombo, Aswan ", 8 to 99 ,"Family, River Cruise, Group, Fully Guided, Historical+3 more",Fez Travel,8 days,1.995,94157
96,In-depth Cultural,Egyptian Family Adventure - 9 Days," Cairo, Giza, Saqqarah, Aswan, Elephantine Island, Philae, Kom Ombo, Valley of the Kings, Luxor+2 more", 5 to 99 ,"Family, Group, Fully Guided, Christmas & New Year+2 more",On The Go Tours,9 days,1.211,143552
97,In-depth Cultural,Amazing Egypt By Felucca," Cairo, Alexandria, Aswan, Luxor, Edfu, Kom Ombo ", 18 to 59 ,"Group, Fully Guided, Explorer, Historical, Christmas & New Year+3 more",Travel Talk,10 days,1.149,167680
98,In-depth Cultural,Explore Egypt," Cairo, Aswan, Luxor, Hurghada, Alexandria ", 15 to 99 ,"Active Adventure, Group, Fully Guided, Christmas & New Year+2 more",Intrepid Travel,15 days,1.228,4121
99,Active Adventure,"Best of Egypt,5 days  in depth of Cairo with night life& tour guided."," Cairo, Giza ", 18 to 85 ,"Private, Fully Guided, Christmas & New Year+1 more",Egypt Direct Tours,5 days,454,135638
100,In-depth Cultural,Egypt Experience  2022-23," Cairo, Giza, Alexandria, Aswan, Luxor ", 4 to 65 ,"Family, Private, Fully Guided, Sightseeing, Christmas & New Year+3 more",Your Egypt Tours,12 days,2.724,110888
101,River Cruise,Adventures on the Nile," Cairo, Giza, Alexandria, Luxor, Aswan ", 4 to 65 ,"Family, Private, Fully Guided, In-depth Cultural, Christmas & New Year+3 more",Your Egypt Tours,14 days,6.132,110162
102,River Cruise,Nile Cruise 4 days 5 stars including internal flights," Cairo, Aswan, Philae, Kom Ombo, Edfu, Luxor, Valley of the Kings ", 1 to 99 ,"Family, Private, Fully Guided, Historical, Christmas & New Year+3 more",Booking Tours,4 days,772,99045
103,Sailing,Felucca Odyssey & Dahab," Cairo, Luxor, Aswan, Edfu, Kom Ombo, Nuweiba, Dahab ", 18 to 50 ,"Group, Fully Guided, Explorer, Coach / Bus, Christmas & New Year+3 more",Travel Talk,10 days,1.097,86528
104,In-depth Cultural,13 Days Luxury tour Cairo and  Oberoi Zahra Nile Cruise Ship," Cairo, Luxor, Edfu, Kom Ombo, Aswan, Abu Simbel, Alexandria ", 10 to 82 ,"Family, River Cruise, Private, Partially Guided, Christmas & New Year+3 more",Vacations to go travel,13 days,11.483,127270
